PMC_ID,English,Vietnamese
PMC7386785,a 'Hospital inpatients' refers to studies that recruited patients admitted to hospital with COVID‐19 disease and in whom the signs and symptoms were assessed on admission.,a 'Bệnh nhân nội trú tại bệnh viện' đề cập đến các nghiên cứu tuyển chọn những bệnh nhân nhập viện mắc bệnh COVID-19 và những người này đã đánh giá các dấu hiệu và triệu chứng khi nhập viện.
PMC7386785,b Setting not specified; assumed hospital outpatients considering the timing in the epidemic and sparse testing capacity outside hospitals at the time ( Rentsch 2020 ).,b Cài đặt không được chỉ định; giả định bệnh nhân ngoại trú tại bệnh viện có tính đến thời điểm xảy ra dịch bệnh và khả năng xét nghiệm thưa thớt bên ngoài bệnh viện vào thời điểm đó ( Rentsch 2020 ).
PMC7386785,The severe acute respiratory syndrome coronavirus 2 (SARS‐CoV‐2) and resulting COVID‐19 pandemic present important diagnostic evaluation challenges.,Hội chứng hô hấp cấp tính nặng do vi-rút Corona 2 (SARS-CoV-2) và đại dịch COVID-19 gây ra đặt ra những thách thức đánh giá chẩn đoán quan trọng.
PMC7386785,"These range from, on the one hand, understanding the value of signs and symptoms in predicting possible infection, assessing whether existing biochemical and imaging tests can identify infection and recognise patients needing critical care, and on the other hand, evaluating whether new diagnostic tests can allow accurate rapid and point‐of‐care testing.","Một mặt, những phạm vi này bao gồm việc hiểu giá trị của các dấu hiệu và triệu chứng trong việc dự đoán khả năng nhiễm trùng, đánh giá liệu các xét nghiệm sinh hóa và hình ảnh hiện tại có thể xác định nhiễm trùng và nhận biết bệnh nhân cần được chăm sóc quan trọng hay không, mặt khác, đánh giá xem các xét nghiệm chẩn đoán mới có thể cho phép xét nghiệm nhanh chóng và chính xác tại điểm chăm sóc hay không."
PMC7386785,"Also, the diagnostic aims are diverse, including identifying current infection, ruling out infection, identifying people in need of care escalation, or testing for past infection.","Ngoài ra, mục đích chẩn đoán rất đa dạng, bao gồm xác định tình trạng nhiễm trùng hiện tại, loại trừ tình trạng nhiễm trùng, xác định những người cần được chăm sóc leo thang hoặc xét nghiệm tình trạng nhiễm trùng trong quá khứ."
PMC7386785,"This review is part of a cluster of reviews on the diagnosis of SARS‐CoV‐2 infection and COVID‐19 disease, and deals solely with the diagnostic accuracy of presenting clinical signs and symptoms for diagnosing COVID‐19 disease.","Đánh giá này là một phần trong nhóm đánh giá về chẩn đoán nhiễm SARS-CoV-2 và bệnh COVID-19, đồng thời chỉ đề cập đến độ chính xác trong chẩn đoán khi đưa ra các dấu hiệu và triệu chứng lâm sàng để chẩn đoán bệnh COVID-19."
PMC7386785,COVID‐19 is the disease caused by infection with the SARS‐CoV‐2 virus.,COVID-19 là căn bệnh gây ra do nhiễm vi-rút SARS-CoV-2.
PMC7386785,"SARS‐CoV‐2 infection is diagnosed with reverse transcription polymerase chain reaction (RT‐PCR), which is a test that detects the virus' genetic material, with imaging to identify lung abnormalities and with clinical signs and symptoms.","Nhiễm SARS-CoV-2 được chẩn đoán bằng phản ứng chuỗi polymerase phiên mã ngược (RT-PCR), đây là xét nghiệm phát hiện vật liệu di truyền của vi rút, bằng hình ảnh để xác định các bất thường ở phổi cũng như các dấu hiệu và triệu chứng lâm sàng."
PMC7386785,"SARS‐CoV‐2 infection can be asymptomatic (no symptoms); mild or moderate; severe (causing breathlessness and increased respiratory rate indicative of pneumonia and oxygen need); or critical (requiring intensive support due to severe acute respiratory syndrome (SARS) or acute respiratory distress syndrome (ARDS), shock or other organ dysfunction).","Nhiễm SARS-CoV-2 có thể không có triệu chứng (không có triệu chứng); nhẹ hoặc trung bình; nghiêm trọng (gây khó thở và tăng nhịp hô hấp cho thấy bệnh viêm phổi và cần oxy); hoặc nguy kịch (cần hỗ trợ tích cực do hội chứng hô hấp cấp tính nặng (SARS) hoặc hội chứng suy hô hấp cấp tính (ARDS), sốc hoặc rối loạn chức năng cơ quan khác)."
PMC7386785,"People with COVID‐19 pneumonia (severe or critical disease), require different patient management, which makes it important to distinguish between mild or moderate COVID‐19 disease and COVID‐19 pneumonia.","Những người bị viêm phổi do COVID-19 (bệnh nặng hoặc nguy kịch), cần có cách quản lý bệnh nhân khác nhau, điều này rất quan trọng để phân biệt giữa bệnh COVID-19 nhẹ hoặc trung bình và bệnh viêm phổi do COVID-19."
PMC7386785,"In this review, we will examine the diagnostic value of signs and symptoms for symptomatic SARS‐CoV‐2 infection, which includes mild or moderate COVID‐19 disease and COVID‐19 pneumonia.","Trong bài đánh giá này, chúng tôi sẽ kiểm tra giá trị chẩn đoán của các dấu hiệu và triệu chứng đối với nhiễm SARS-CoV-2 có triệu chứng, bao gồm bệnh COVID-19 nhẹ hoặc trung bình và viêm phổi do COVID-19."
PMC7386785,"In planning review updates, we will consider the potential addition of another grouping, which is a subset of the above: whether tests exist that identify people requiring respiratory support (SARS or ARDS) or intensive care.","Khi cập nhật đánh giá kế hoạch, chúng tôi sẽ xem xét khả năng bổ sung một nhóm khác, là một tập hợp con của các nhóm trên: liệu có tồn tại các xét nghiệm xác định những người cần hỗ trợ hô hấp (SARS hoặc ARDS) hoặc chăm sóc đặc biệt hay không."
PMC7386785,whether tests exist that identify people requiring respiratory support (SARS or ARDS) or intensive care.,liệu có tồn tại các xét nghiệm xác định những người cần hỗ trợ hô hấp (SARS hoặc ARDS) hoặc chăm sóc đặc biệt hay không.
PMC7386785,"Signs and symptoms are used in the initial diagnosis of suspected COVID‐19 disease, and to identify people with COVID‐19 pneumonia.",Các dấu hiệu và triệu chứng được sử dụng trong chẩn đoán ban đầu khi nghi ngờ mắc bệnh COVID-19 và để xác định những người bị viêm phổi do COVID-19.
PMC7386785,"Symptoms are what is experienced by patients, for example cough or nausea.","Các triệu chứng là những gì bệnh nhân trải qua, chẳng hạn như ho hoặc buồn nôn."
PMC7386785,"Signs are what can be evaluated by clinical assessment, for example lung auscultation findings, blood pressure or heart rate.","Dấu hiệu là những gì có thể được đánh giá bằng đánh giá lâm sàng, ví dụ như kết quả nghe phổi, huyết áp hoặc nhịp tim."
